country,year,polyarchy
Japan,1789,0.025
Japan,1790,0.027
Japan,1791,0.027
Japan,1792,0.027
Japan,1793,0.027
Japan,1794,0.027
Japan,1795,0.027
Japan,1796,0.027
Japan,1797,0.027
Japan,1798,0.027
Japan,1799,0.027
Japan,1800,0.027
Japan,1801,0.027
Japan,1802,0.027
Japan,1803,0.027
Japan,1804,0.027
Japan,1805,0.027
Japan,1806,0.027
Japan,1807,0.027
Japan,1808,0.027
Japan,1809,0.027
Japan,1810,0.027
Japan,1811,0.027
Japan,1812,0.027
Japan,1813,0.027
Japan,1814,0.027
Japan,1815,0.027
Japan,1816,0.027
Japan,1817,0.027
Japan,1818,0.027
Japan,1819,0.027
Japan,1820,0.027
Japan,1821,0.027
Japan,1822,0.027
Japan,1823,0.027
Japan,1824,0.027
Japan,1825,0.027
Japan,1826,0.027
Japan,1827,0.027
Japan,1828,0.027
Japan,1829,0.027
Japan,1830,0.027
Japan,1831,0.027
Japan,1832,0.027
Japan,1833,0.027
Japan,1834,0.027
Japan,1835,0.027
Japan,1836,0.027
Japan,1837,0.027
Japan,1838,0.027
Japan,1839,0.027
Japan,1840,0.027
Japan,1841,0.027
Japan,1842,0.027
Japan,1843,0.027
Japan,1844,0.027
Japan,1845,0.027
Japan,1846,0.027
Japan,1847,0.027
Japan,1848,0.027
Japan,1849,0.027
Japan,1850,0.03
Japan,1851,0.03
Japan,1852,0.03
Japan,1853,0.03
Japan,1854,0.03
Japan,1855,0.03
Japan,1856,0.03
Japan,1857,0.03
Japan,1858,0.03
Japan,1859,0.03
Japan,1860,0.03
Japan,1861,0.03
Japan,1862,0.03
Japan,1863,0.03
Japan,1864,0.03
Japan,1865,0.03
Japan,1866,0.03
Japan,1867,0.03
Japan,1868,0.036
Japan,1869,0.047
Japan,1870,0.086
Japan,1871,0.086
Japan,1872,0.086
Japan,1873,0.086
Japan,1874,0.086
Japan,1875,0.086
Japan,1876,0.086
Japan,1877,0.086
Japan,1878,0.086
Japan,1879,0.086
Japan,1880,0.086
Japan,1881,0.086
Japan,1882,0.086
Japan,1883,0.086
Japan,1884,0.086
Japan,1885,0.086
Japan,1886,0.086
Japan,1887,0.086
Japan,1888,0.086
Japan,1889,0.086
Japan,1890,0.131
Japan,1891,0.167
Japan,1892,0.153
Japan,1893,0.149
Japan,1894,0.16
Japan,1895,0.162
Japan,1896,0.162
Japan,1897,0.162
Japan,1898,0.162
Japan,1899,0.16
Japan,1900,0.174
Japan,1901,0.176
Japan,1902,0.175
Japan,1903,0.174
Japan,1904,0.173
Japan,1905,0.173
Japan,1906,0.176
Japan,1907,0.176
Japan,1908,0.175
Japan,1909,0.175
Japan,1910,0.177
Japan,1911,0.179
Japan,1912,0.178
Japan,1913,0.178
Japan,1914,0.178
Japan,1915,0.178
Japan,1916,0.178
Japan,1917,0.184
Japan,1918,0.186
Japan,1919,0.186
Japan,1920,0.188
Japan,1921,0.187
Japan,1922,0.187
Japan,1923,0.187
Japan,1924,0.193
Japan,1925,0.193
Japan,1926,0.212
Japan,1927,0.212
Japan,1928,0.211
Japan,1929,0.211
Japan,1930,0.205
Japan,1931,0.203
Japan,1932,0.204
Japan,1933,0.205
Japan,1934,0.201
Japan,1935,0.197
Japan,1936,0.197
Japan,1937,0.175
Japan,1938,0.171
Japan,1939,0.17
Japan,1940,0.151
Japan,1941,0.148
Japan,1942,0.141
Japan,1943,0.137
Japan,1944,0.137
Japan,1945,0.184
Japan,1946,0.311
Japan,1947,0.371
Japan,1948,0.372
Japan,1949,0.374
